Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Gender Inequality Index,Inflation,Population,GDP,Cluster
Switzerland,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.018,-0.600769413614131,8283940,679289166858.236,0
Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.039,6.04182868914013,330962,16783714958.4498,0
Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.009,0.701115894300301,5683698,301298464861.385,0
Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.012,-2.82178390640169,5189776,386663139402.707,0
Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.069,-0.755602608437428,35962236,1552807652015.37,0
Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.032,1.87237516293419,5479718,232439324529.645,0
Netherlands,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.025,0.805313302903372,17107427,757999453314.269,0
Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.023,2.06561696473106,9799482,497918109302.399,0
New Zealand,Australia and New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.082,1.59133948498295,4614037,175562976175.285,0
Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.65124,0.063,-0.701661697925701,23947998,1345383143356.35,0
Israel,Middle East and Northern Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.092,2.24444490237154,8052915,299096404728.826,0
Costa Rica,Latin America and Caribbean,7.226,0.95578,1.23788,0.86027,0.63376,0.232,2.65664899710086,4818044,54840103850.265,0
Austria,Western Europe,7.2,1.33723,1.29704,0.89042,0.62433,0.048,2.31482349572502,8644037,382065930307.978,0
Mexico,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.352,3.07210230237145,121072310,1152263780657.86,0
United States,North America,7.119,1.39451,1.24711,0.86179,0.54604,0.18,1.08443257799533,326126498,18120714000000.0,2
Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.391,7.9020523787274,201675534,1803652649613.75,0
Luxembourg,Western Europe,6.946,1.56391,1.21963,0.91894,0.61583,0.043,1.31907194969922,569541,57784495265.4378,0
Ireland,Western Europe,6.94,1.33596,1.36948,0.89533,0.61777,0.072,7.28003330048801,4702497,290617006703.972,0
Belgium,Western Europe,6.937,1.30782,1.28566,0.89667,0.5845,0.044,1.11477179722085,11275332,455200045095.643,0
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,1.12575,0.80925,0.64157,0.035,-14.4962321384988,8674629,357949199754.935,0
United Kingdom,Western Europe,6.867,1.26637,1.28548,0.90943,0.59625,0.094,0.456272022319169,65382107,2885570309160.86,0
Oman,Middle East and Northern Africa,6.853,1.36011,1.08182,0.76276,0.63274,0.267,-18.4351484808922,4184897,69831770871.2614,0
Singapore,Southeastern Asia,6.798,1.52186,1.02,1.02525,0.54252,0.036,2.53847076963125,5525343,296840704102.415,0
Panama,Latin America and Caribbean,6.786,1.06353,1.1985,0.79661,0.5421,0.392,0.242310064275969,3960036,52132289700.0,0
Germany,Western Europe,6.75,1.32792,1.29937,0.89186,0.61477,0.071,2.01304621017258,82077546,3375611100742.22,0
Chile,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.19,4.2234456725438,18047628,242517905161.664,0
Qatar,Middle East and Northern Africa,6.611,1.69042,1.0786,0.79733,0.6404,0.212,-22.901811514034,2427337,164641483516.484,0
France,Western Europe,6.575,1.27778,1.26038,0.94579,0.55011,0.084,1.09231638994078,64916336,2433562015516.21,0
Argentina,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.292,24.545356530691,43477009,584711485367.267,0
Uruguay,Latin America and Caribbean,6.485,1.06166,1.2089,0.8116,0.60362,0.24,9.01628062285948,3368022,53274304214.8174,0
Colombia,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.392,2.45346941643786,46969937,291519596338.693,0
Thailand,Southeastern Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.31,0.594264305071675,70540790,399234547137.472,0
Saudi Arabia,Middle East and Northern Africa,6.411,1.39541,1.08393,0.72025,0.31048,0.229,-17.2276186665855,29974944,651757333333.333,0
