Country,Year,GDP Value,population,"Crude marriage rate (per 1,000 inhabitants)","Crude divorce rate (per 1,000 inhabitants)",$2.15 a day - Share of population in poverty,Gini coefficient,Healthy life expectancy
Albania,2015,11335264966.561,2898634,8.7,1.3,0.096067496,0.32753733,69.02539
Armenia,2010,9260284937.79782,2931083,5.2,0.89999998,0.9514653,0.29992583,64.8445
Armenia,2015,10553337672.9872,2921179,5.9,1.2,1.1463602,0.32356772,65.99944
Australia,2010,1142876772659.21,22141583,5.4,2.3,0.34916842,0.34656727,70.16705
Austria,2000,196799778883.361,8012929,4.9,2.4000001,0.0,0.28964692,68.17779
Austria,2010,391892746544.69,8365087,4.5,2.0999999,0.49070254,0.3025161,69.9159
Austria,2015,382065930307.978,8644037,5.1,1.9,0.677193,0.30530685,70.39115
Belarus,2010,57222490768.7143,9490752,8.1,3.9000001,0.033942714,0.285666,62.25875
Belarus,2015,56454734396.5842,9487288,8.6,3.5,0.0,0.25633225,65.0635
Belgium,2000,237904919845.218,10251719,4.4,2.5999999,0.305506,0.33135915,67.84242
Belgium,2010,483548031197.108,10936620,3.9,2.7,0.13711528,0.28374815,69.21256
Belgium,2015,455200045095.643,11275332,4.0,2.2,0.07075855,0.27729303,69.9943
Bulgaria,2010,50610031135.7791,7437594,3.3,1.5,2.0077357,0.3565347,65.20113
Bulgaria,2015,50199117547.0415,7177516,3.9,1.5,3.4196482,0.38564444,65.90979
Canada,2000,742293448252.643,30891800,5.1,2.3,0.24782088,0.33418295,69.41611
Costa Rica,2010,37268635287.0856,4555965,5.3,2.5,1.4892362,0.48043102,69.18748
Costa Rica,2015,54840103850.265,4818044,5.5,2.0999999,1.5732268,0.48374,70.03889
Croatia,2010,59665427464.5326,4301152,5.0,1.2,1.2098455,0.32373103,67.30939
Croatia,2015,48921877447.764,4183732,4.7,1.4,0.5948145,0.31113166,67.90067
Cyprus,2010,25562251655.6291,1127825,7.3,2.3,0.036670096,0.3145779,70.78558
Cyprus,2015,19676167239.6584,1219504,7.2,2.0999999,0.026797833,0.33966377,71.62617
Denmark,2000,164158800460.219,5339660,7.2,2.7,0.0,0.2376632,67.56724
Denmark,2010,321995350346.501,5547866,5.6,2.5999999,0.05729401,0.2719856,69.41515
Denmark,2015,301298464861.385,5683698,5.1,2.9000001,0.17542586,0.28177238,70.52639
Estonia,2010,19490936349.1753,1331450,3.8,2.2,0.7922196,0.31999895,66.88036
Estonia,2015,22566956982.229,1314581,5.2,2.5999999,0.6000405,0.3266799,68.25513
Finland,2000,125539893126.958,5176198,5.1,2.7,0.0,0.27156627,67.77811
Finland,2010,247799815768.477,5363347,5.6,2.5,0.053840697,0.2771396,69.55476
Finland,2015,232439324529.645,5479718,4.5,2.5,0.07020851,0.2710181,70.73011
